datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation
2024-07-01 00:00:00,3.0,607.49,0.0,6.43,94.41,6.62,30.69,34.05,9.5,27.241499,84.45957,24.3915,0.0,970.642,14.799459,108.43504,0.0
2024-07-01 01:00:00,3.0,667.57,0.01,6.94,91.55,6.08,32.31,35.33,9.88,27.6415,86.541534,25.1915,0.0,970.57684,9.028754,85.42616,22.0
2024-07-01 02:00:00,3.0,761.03,0.31,10.2,75.82,6.5,34.77,38.13,10.77,28.8415,82.89082,25.6415,0.0,970.7713,10.308831,102.09474,109.0
2024-07-01 03:00:00,3.0,801.09,1.31,12.34,69.38,6.97,33.64,37.25,10.39,30.8915,74.55042,25.8415,0.0,971.0323,11.177405,104.93147,250.0
2024-07-01 04:00:00,3.0,687.6,1.38,9.85,87.98,7.03,27.17,31.02,8.74,32.9415,66.17864,25.7915,0.0,971.29156,11.298495,112.47948,443.0
2024-07-01 05:00:00,3.0,587.46,0.99,7.54,115.87,7.99,24.98,29.27,8.11,34.4915,61.04414,25.8915,0.0,970.92413,11.4862,122.1957,595.0
2024-07-01 06:00:00,4.0,534.06,0.75,6.34,144.48,9.78,26.43,31.34,8.23,35.9915,55.851707,25.7915,0.0,970.4545,9.931042,133.53127,719.0
2024-07-01 07:00:00,4.0,447.27,0.61,5.23,144.48,9.54,23.26,34.59,6.65,37.1915,51.52825,25.5415,0.0,969.4726,7.386582,133.02507,784.0
2024-07-01 08:00:00,4.0,433.92,0.64,5.65,144.48,10.01,22.84,40.08,6.27,37.9915,48.174427,25.1415,0.0,968.4595,4.198285,149.03632,769.0
2024-07-01 09:00:00,4.0,453.95,0.68,6.94,154.5,11.68,24.32,46.37,6.52,38.7915,45.72396,24.991499,0.0,967.73895,1.484318,165.96373,709.0
2024-07-01 10:00:00,4.0,487.33,0.72,9.0,164.51,14.42,26.58,53.52,6.84,39.2415,43.3161,24.491499,0.0,966.89435,1.609969,26.564985,600.0
2024-07-01 11:00:00,4.0,507.35,0.68,10.71,165.94,15.74,27.87,57.63,7.41,39.4915,41.227554,23.8915,0.0,966.132,1.609969,26.564985,434.0
2024-07-01 12:00:00,4.0,520.71,0.57,12.85,157.36,15.5,27.62,57.21,8.23,39.4415,40.843906,23.6915,0.0,965.5427,0.35999998,360.0,296.0
2024-07-01 13:00:00,4.0,534.06,0.32,15.25,140.19,13.95,25.92,52.34,9.5,35.7915,54.008057,25.0415,0.0,966.8287,5.1919937,56.309914,150.0
2024-07-01 14:00:00,3.0,534.06,0.05,15.77,117.3,11.68,23.41,46.09,11.02,34.841503,57.602467,25.241499,0.0,967.2436,7.2359104,84.2895,43.0
2024-07-01 15:00:00,2.0,514.03,0.0,14.05,98.71,9.66,21.42,41.78,12.41,33.7415,61.059746,25.1915,0.0,967.7441,11.792404,102.33907,0.0
2024-07-01 16:00:00,2.0,494.0,0.0,12.68,85.83,7.75,19.56,37.27,14.31,32.9415,63.861397,25.1915,0.0,968.4624,11.885453,125.13428,0.0
2024-07-01 17:00:00,2.0,487.33,0.0,11.82,82.97,7.09,19.05,34.36,14.95,32.2915,67.43732,25.491499,0.0,968.89923,12.218805,135.0001,0.0
2024-07-01 18:00:00,2.0,467.3,0.0,10.8,89.41,6.79,19.83,33.32,14.06,31.741499,70.610344,25.741499,0.0,969.1486,9.931042,133.53127,0.0
2024-07-01 19:00:00,2.0,447.27,0.0,9.08,97.27,6.44,20.53,31.66,12.29,31.3415,73.09445,25.9415,0.0,968.5319,8.854829,116.56499,0.0
2024-07-01 20:00:00,2.0,420.57,0.0,7.28,97.27,5.96,19.79,28.1,11.4,30.9415,75.44628,26.0915,0.0,967.8173,5.95906,115.01687,0.0
2024-07-01 21:00:00,2.0,427.25,0.0,7.03,78.68,5.25,17.34,23.42,11.91,30.741499,76.76538,26.1915,0.2,967.2163,6.9247384,117.89718,0.0
2024-07-01 22:00:00,2.0,473.98,0.0,8.91,54.36,5.6,16.42,21.71,12.41,30.0915,82.54693,26.7915,0.3,967.65247,10.739833,193.57045,0.0
2024-07-01 23:00:00,2.0,467.3,0.0,9.17,43.63,5.9,14.64,19.25,10.89,27.991499,84.79094,25.1915,0.0,967.9722,15.937878,198.43504,0.0
2024-07-02 00:00:00,2.0,417.23,0.0,8.31,43.99,6.32,13.21,17.31,7.98,26.8415,91.5111,25.3415,0.4,969.537,11.753876,310.0302,0.0
2024-07-02 01:00:00,2.0,387.19,0.03,8.4,43.63,6.5,13.04,16.77,6.27,28.5915,91.88498,27.1415,0.3,967.4353,7.2,53.13002,18.0
2024-07-02 02:00:00,2.0,420.57,0.75,10.2,43.63,6.85,13.77,17.54,6.65,29.3915,88.50208,27.2915,0.0,967.98694,9.114471,99.090195,107.0
2024-07-02 03:00:00,2.0,487.33,2.07,12.0,52.93,7.27,14.78,18.7,7.6,30.8915,80.01863,27.0415,0.0,968.3986,9.387651,122.471176,276.0
